사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
필드키친부산진구점,기타,,부산광역시 부산진구 가야동 82-11,"부산광역시 부산진구 가야대로587번길 13, 퍼스트클래스 1층 101호 (가야동)",385436.184715747,185926.87656894,영업/정상,,부산진구,가야동,가야동 필드키친부산진구점,가야동 필드키친부산진구점 
코즈믹버거 전포점,기타,,부산광역시 부산진구 전포동 334-15,"부산광역시 부산진구 동성로49번길 4, 1층 (전포동)",388382.418221077,185946.712300803,영업/정상,,부산진구,전포동,전포동 코즈믹버거 전포점,전포동 코즈믹버거 전포점 
스토리,일식,,부산광역시 부산진구 범천동 847-37,"부산광역시 부산진구 중앙번영로 6, 2층 (범천동)",387644.702618617,184788.238112815,영업/정상,,부산진구,범천동,범천동 스토리,범천동 스토리 
원스,기타,,부산광역시 부산진구 부암동 290-35,"부산광역시 부산진구 동평로150번길 21, 1층 105호 일부호 (부암동)",386297.95361292,186990.467627685,영업/정상,,부산진구,부암동,부암동 원스,부암동 원스 
푸른바다찜탕 서면점,기타,,부산광역시 부산진구 전포동 554-1,"부산광역시 부산진구 전포대로300번길 23, 2층 (전포동)",388178.013426906,187030.42735124,영업/정상,,부산진구,전포동,전포동 푸른바다찜탕 서면점,전포동 푸른바다찜탕 서면점 
푸드모바일 서면점,한식,,부산광역시 부산진구 전포동 554-1,"부산광역시 부산진구 전포대로300번길 23, 2층 (전포동)",388178.013426906,187030.42735124,영업/정상,,부산진구,전포동,전포동 푸드모바일 서면점,전포동 푸드모바일 서면점 
럭키라이스,한식,,부산광역시 부산진구 양정동 275-1,"부산광역시 부산진구 동평로405번길 78, 1층 (양정동)",388671.855194972,188344.361946052,영업/정상,,부산진구,양정동,양정동 럭키라이스,양정동 럭키라이스 
우가네족발,한식,,부산광역시 부산진구 부전동 325-30,"부산광역시 부산진구 부전로174번길 42, 1층 (부전동)",387698.93191739,186642.076656399,영업/정상,,부산진구,부전동,부전동 우가네족발,부전동 우가네족발 
오복식당,한식,,부산광역시 부산진구 부전동 58-1,"부산광역시 부산진구 중앙대로 795-1, 1층 (부전동)",387867.103676258,186804.251248603,영업/정상,,부산진구,부전동,부전동 오복식당,부전동 오복식당 
바삭마차,분식,,부산광역시 부산진구 부전동 503-15 롯데백화점부산본점,"부산광역시 부산진구 가야대로 772, 롯데백화점부산본점 지하2층 (부전동)",387271.299492377,186099.137533193,영업/정상,,부산진구,부전동,부전동 바삭마차,부전동 바삭마차 
키친바바,경양식,,부산광역시 부산진구 전포동 313-82,"부산광역시 부산진구 전포대로210번길 24-9, 1층 좌측호 (전포동)",388265.173631867,185950.706734813,영업/정상,,부산진구,전포동,전포동 키친바바,전포동 키친바바 
웨이브,기타,,부산광역시 부산진구 당감동 817-46,"부산광역시 부산진구 가야대로691번길 15, 1층 (당감동)",386424.396965888,186154.650297531,영업/정상,,부산진구,당감동,당감동 웨이브,당감동 웨이브 
애플,기타,,부산광역시 부산진구 당감동 817-46,"부산광역시 부산진구 가야대로691번길 15, 1층 (당감동)",386424.396965888,186154.650297531,영업/정상,,부산진구,당감동,당감동 애플,당감동 애플 
피자스톰 부산진구점,기타,,부산광역시 부산진구 당감동 445-7,"부산광역시 부산진구 당감서로 34, 1층 (당감동)",385499.223626727,186830.221782395,영업/정상,,부산진구,당감동,당감동 피자스톰 부산진구점,당감동 피자스톰 부산진구점 
연남토마롯데백화점부산본점,경양식,,부산광역시 부산진구 부전동 503-15 롯데백화점부산본점,"부산광역시 부산진구 가야대로 772, 롯데백화점부산본점 9층 (부전동)",387271.299492377,186099.137533193,영업/정상,,부산진구,부전동,부전동 연남토마롯데백화점부산본점,부전동 연남토마롯데백화점부산본점 
다온돼지,식육(숯불구이),,부산광역시 부산진구 가야동 82-17,"부산광역시 부산진구 가야대로589번길 3, 1층 (가야동)",385484.303746894,185886.60584131,영업/정상,,부산진구,가야동,가야동 다온돼지,가야동 다온돼지 
연산할매국수,한식,,부산광역시 부산진구 당감동 409-15,"부산광역시 부산진구 동평로 80, 1층 (당감동)",385633.975478069,187007.012619005,영업/정상,,부산진구,당감동,당감동 연산할매국수,당감동 연산할매국수 
주지민아빠감자탕,한식,,부산광역시 부산진구 부전동 397-15,"부산광역시 부산진구 새싹로 15-1, 2층 (부전동)",387407.076758977,186388.270691681,영업/정상,,부산진구,부전동,부전동 주지민아빠감자탕,부전동 주지민아빠감자탕 
덕수파스타 부산 전포 직영점,경양식,,부산광역시 부산진구 전포동 359-28,"부산광역시 부산진구 서전로68번길 131, 1층 (전포동)",388319.581087207,185590.127291604,영업/정상,,부산진구,전포동,전포동 덕수파스타 부산 전포 직영점,전포동 덕수파스타 부산 전포 직영점 
귀현푸드,한식,,부산광역시 부산진구 가야동 13-9,"부산광역시 부산진구 가야대로668번길 30, 1층 (가야동)",386224.301292326,185876.248233538,영업/정상,,부산진구,가야동,가야동 귀현푸드,가야동 귀현푸드 
홀리데이 바,기타,,부산광역시 부산진구 전포동 357-15,"부산광역시 부산진구 동성로25번길 13, 1층 (전포동)",388344.381851811,185676.649450092,영업/정상,,부산진구,전포동,전포동 홀리데이 바,전포동 홀리데이 바 
제줏간-서면점,식육(숯불구이),,부산광역시 부산진구 부전동 515-71,"부산광역시 부산진구 중앙대로691번가길 11, 1층 (부전동)",387245.278711928,185900.385858465,영업/정상,,부산진구,부전동,부전동 제줏간-서면점,부전동 제줏간-서면점 
코르 파스타 바,경양식,,부산광역시 부산진구 전포동 357-15,"부산광역시 부산진구 동성로25번길 13, 2층 (전포동)",388344.381851811,185676.649450092,영업/정상,,부산진구,전포동,전포동 코르 파스타 바,전포동 코르 파스타 바 
몬도일커피(MONDO1.COFFEE),기타,,부산광역시 부산진구 양정동 365-11,"부산광역시 부산진구 양지로 22-1, 1층 (양정동)",388526.447341357,187433.702603039,영업/정상,,부산진구,양정동,양정동 몬도일커피(MONDO1.COFFEE),양정동 몬도일커피(MONDO1.COFFEE) 
