,restaurant_name,review_content,rating,date,visit,receipt,category
5979,부전동(주)사미헌,굳,별점4점,방문일21.7.10.토2021년 7월 10일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5980,부전동(주)사미헌,갈비탕 맛집 최고,별점5점,방문일21.5.12.수2021년 5월 12일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5981,부전동(주)사미헌,좋아요,별점4점,방문일21.6.21.월2021년 6월 21일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5982,부전동(주)사미헌,소고기랑 갈비탕 된찌+누룽지 비냉 다 맛있어요,별점5점,방문일21.3.7.일2021년 3월 7일 일요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5983,부전동(주)사미헌,엄마 하지정맥수술하셔서 퇴원하시고 모시고 갔는데 갈비탕 손님 6~7팀 받고 음식 나올동안 고기도 안나오고 된장찌개 먼저 달라고 했는데 그거마저 늦게나왔어요.... 그럼 설명이나 죄송하다는 인사도 없으시고 고기 썰고있다고 내려온다고 쳐다보면 좀있음 나온다고.... 수술하시고 점심도 못드셔서 배고프신데.... 다시는 안갈것같아요......,별점2점,방문일21.2.2.화2021년 2월 2일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5984,부전동(주)사미헌,"가성비최고에영👍🏻
맛도 최고,직원분들도 친절하셔서 
기분좋게 잘 먹었습니당😊",별점5점,방문일21.3.3.수2021년 3월 3일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5985,부전동(주)사미헌,"프라이빗하게 먹을 수 있어서 정말 좋았습니다. 생일 기념으로 예약해뒀는데, 잘 한 듯하네요 ㅎㅎ
고기 퀄리티도 좋았어요~~",별점4점,방문일21.2.13.토2021년 2월 13일 토요일,1번째 방문,인증 수단예약,"<span class=""DJJvD"">육류,고기요리</span>"
5986,부전동(주)사미헌,맛있어요,별점4점,방문일21.6.30.수2021년 6월 30일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5987,부전동(주)사미헌,"일단 고기가 기대이하였고 밑반찬 구성이 고기맛을 떨어트리는..... 너무 강했어요 냉면 일반 가게수준 된장 진~~~~짜맛없음 밑반찬 멸치볶음 내가한것
보다 맛없음 수정과 물탄수정과  후식 오렌지 어디서 샀을까요 맛있었음 가지 짬 맛음 괜춘 백김치 사온것같은맛 없음 명이나물 여느시당과 같음 토마
도 괜춘 결과 다신안감",별점2점,방문일21.2.3.수2021년 2월 3일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5988,부전동(주)사미헌,전복갈비탕3  갈비탕1 점심특선 한우양념갈비 점심특선 차돌박이  담에 시부모님모시고 또 갈거에요,별점5점,방문일21.3.22.월2021년 3월 22일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5989,부전동(주)사미헌,맛있어요.,별점5점,방문일21.5.24.월2021년 5월 24일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5990,부전동(주)사미헌,사미헌 점심특선 싸고 넘나 맛나요,별점5점,방문일21.3.22.월2021년 3월 22일 월요일,3번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5991,부전동(주)사미헌,"한정식 레스토랑처럼 차려지는 반찬과 품질좋은 한우, 그리고 직원분들의 친절한 서비스까지 완벽합니다. 손님 모시고가기 좋아요",별점5점,방문일20.12.22.화2020년 12월 22일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5992,부전동(주)사미헌,"코로나임에도 불구하고 부산 출장  올일이  있어서 부산 왔는데, 마켓컬리에서 갈비탕으로만 봤던 사미헌이 서면에 있다는 걸 알고 점심때 점심특선으로 한우특수모둠 먹어봤어요. 갈비탕만 맛있는 줄 알았는데, 한우도 너무 맛있더라구요! 다음번엔 갈비탕 말고 고기도 주문했어 먹어 봐야 겠어용~~~^^",별점5점,방문일20.12.20.일2020년 12월 20일 일요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5993,부전동(주)사미헌,정말맜있는곳이네~~!!!잘먹었습니다.,별점5점,방문일21.3.27.토2021년 3월 27일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5994,부전동(주)사미헌,맛나여~,별점4점,방문일21.5.17.월2021년 5월 17일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5995,부전동(주)사미헌,"제철음식들도 같이 나와서 먹기 좋았습니다만 놓고 온 물건이 있었는데 예약했음에도 다시 연락 주시진 않으시더라구요 ㅠ 금액대비 서비스는 미흡한 
것 같습니다! 고기 맛은 좋았어요~ 사르륵~",별점4.5점,방문일21.3.7.일2021년 3월 7일 일요일,1번째 방문,인증 수단예약,"<span class=""DJJvD"">육류,고기요리</span>"
5996,부전동(주)사미헌,"룸으로 되어있어서 좋아요, 직원분들도 친절합니다!",별점5점,방문일21.2.20.토2021년 2월 20일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5997,부전동(주)사미헌,좋아용ㅎㅎ,별점4점,방문일21.5.21.금2021년 5월 21일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5998,부전동(주)사미헌,갈비탕 정말 맛있어용!! 고기 안 좋아하는 엄마도 맛있게 드셨어요,별점5점,방문일21.2.14.일2021년 2월 14일 일요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
5999,부전동(주)사미헌,맛있어서 자주 가요ㅎㅎㅎ국물 최고에용,별점5점,방문일21.2.14.일2021년 2월 14일 일요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6000,부전동(주)사미헌,굿굿,별점4점,방문일21.6.12.토2021년 6월 12일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6001,부전동(주)사미헌,"맛 있고 친절해서 좋아요
주차장도 있어서 서면 한복판이지만
주차걱정 없어서 더 좋네요",별점5점,방문일21.3.1.월2021년 3월 1일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6002,부전동(주)사미헌,갈비탕 포장하러 자주가는 집이예요 ! 갈비탕 국물 진짜 끝내줍니다ㅜㅜ 괜히 21년 전통있는집인게 아님ㅎㅎ 한우명장세트 나왔던데 구성장난아니더라고요 ? 요번에는 갈비탕 먹고 집 갈 때 한우버섯불고기전골 밀키트사왔어용ㅎㅎ,별점5점,방문일21.4.13.화2021년 4월 13일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6003,부전동(주)사미헌,굿국,별점5점,방문일21.6.8.화2021년 6월 8일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6004,부전동(주)사미헌,맛잇어여,별점5점,방문일21.6.5.토2021년 6월 5일 토요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6005,부전동(주)사미헌,"최악입니다. 제일 비싼 구이주문했는데, 씹을수가 없었어요.",별점1점,방문일21.3.14.일2021년 3월 14일 일요일,1번째 방문,인증 수단예약,"<span class=""DJJvD"">육류,고기요리</span>"
6006,부전동(주)사미헌,깔끔하고 직원분들도 너무친절하고ㅎㅎ 맛있었어요^^,별점5점,방문일21.2.5.금2021년 2월 5일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6007,부전동(주)사미헌,굿,별점4점,방문일21.4.30.금2021년 4월 30일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6008,부전동(주)사미헌,굿,별점없음,방문일21.12.28.화2021년 12월 28일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6009,부전동(주)사미헌,방역도 잘 되있고 일단 전반적인 가게 분위기가 좋았습니다. 갈비탕 고기가 너무 부드럽고 잘 넘어가네요. 국물 맛도 최고구요! 또 방문할 예정입니다,별점5점,방문일21.2.4.목2021년 2월 4일 목요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6010,부전동(주)사미헌,"진짜 맛있어요ㅎㅎㅎ저번주에 먹고 또 생각나서 방문했는데 고기도 부드럽고 김치, 깍두기 다 맛있고 먹으면 든든해지는 느낌입니당",별점5점,방문일21.1.1.금2021년 1월 1일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6011,부전동(주)사미헌,굿,별점없음,방문일21.10.4.월2021년 10월 4일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6012,부전동(주)사미헌,무지맛있어요,별점5점,방문일21.4.4.일2021년 4월 4일 일요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6013,부전동(주)사미헌,맛있어요,별점5점,방문일21.5.27.목2021년 5월 27일 목요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6014,부전동(주)사미헌,맛있어요,별점4점,방문일21.4.22.목2021년 4월 22일 목요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6015,부전동(주)사미헌,굿굿 좋아요,별점5점,방문일21.4.30.금2021년 4월 30일 금요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6016,부전동(주)사미헌,좋아요,별점4.5점,방문일21.7.13.화2021년 7월 13일 화요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6017,부전동(주)사미헌,고기가 달고 맛있어요 ,별점4점,방문일21.1.23.토2021년 1월 23일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6018,부전동(주)사미헌,맛있어요,별점5점,방문일21.5.19.수2021년 5월 19일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6019,부전동(주)사미헌,갈비탕을 좋아해서 자주가는맛집,별점5점,방문일21.2.24.수2021년 2월 24일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6020,부전동(주)사미헌,좋아요,별점5점,방문일21.5.15.토2021년 5월 15일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6021,부전동(주)사미헌,굳!!!!!!!,별점5점,방문일21.5.12.수2021년 5월 12일 수요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6022,부전동(주)사미헌,좋아요,별점없음,방문일21.8.6.금2021년 8월 6일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6023,부전동(주)사미헌,맛나요. 포장을 많이  해서 가요,별점5점,방문일21.5.22.토2021년 5월 22일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6024,부전동(주)사미헌,굿굿,별점5점,방문일21.4.12.월2021년 4월 12일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6025,부전동(주)사미헌,굿,별점5점,방문일21.5.9.일2021년 5월 9일 일요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6026,부전동(주)사미헌,근처가 직장이라 종종 갈비탕 먹으러 갔는데..ㅎㅎ오늘은 오랜만에 점심특선으로 고기 먹고 가는데 역시나 엄지척이네요 굿굿,별점5점,방문일20.12.19.토2020년 12월 19일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6027,부전동(주)사미헌,조아용,별점5점,방문일21.5.8.토2021년 5월 8일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6028,부전동(주)사미헌,"오랜만에 하는 외식인데 룸도 있어서 참 좋았습니다. 분위기도 쾌적하고 친절하고, 음식도 너무 맛있더라구요. 주변에 식사약속이 있는 분들에게 추천해드리고 있어요.",별점5점,방문일20.12.19.토2020년 12월 19일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6029,부전동(주)사미헌,잘 먹었습니다 룸이라 편함,별점5점,방문일21.2.11.목2021년 2월 11일 목요일,1번째 방문,인증 수단예약,"<span class=""DJJvD"">육류,고기요리</span>"
6030,부전동(주)사미헌,맛잇음 비쌈,별점3점,방문일21.3.13.토2021년 3월 13일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6031,부전동(주)사미헌,명절 선물로 좋음,별점5점,방문일21.1.28.목2021년 1월 28일 목요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6032,부전동(주)사미헌,1. 5인이상 집합 금지라 작은 룸 있는 곳을 선호하는데 여긴 2인부터도 룸을 예약할 수 있어서 좋아요 갈비탕이 내용도 실하고 너무 맛있어요 국물이 너무 맑고 시원해서 계속 사 먹을 거 같아요!! 짱짱맨,별점5점,방문일21.1.4.월2021년 1월 4일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6033,부전동(주)사미헌,사미헌 갈비탕은 진짜 맛있어요!!,별점5점,방문일21.1.2.토2021년 1월 2일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6034,부전동(주)사미헌,#친절하십니다. #서면,별점4점,방문일21.3.4.목2021년 3월 4일 목요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6035,부전동(주)사미헌,ㄷ,별점3.5점,방문일21.4.9.금2021년 4월 9일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6036,부전동(주)사미헌,갈비탕 진하고 좋아요.국민갈비탕 인정!,별점4.5점,방문일21.5.8.토2021년 5월 8일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6037,부전동(주)사미헌,룸으로 예약할 수 있어서 좋았고 고기조 너무너무 신선하고 맛있었어요,별점5점,방문일20.12.26.토2020년 12월 26일 토요일,1번째 방문,인증 수단예약,"<span class=""DJJvD"">육류,고기요리</span>"
6038,부전동(주)사미헌,ㅇㅈ,별점없음,방문일21.10.25.월2021년 10월 25일 월요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6039,부전동(주)사미헌,좋아요 ~~~,별점3.5점,방문일21.3.17.수2021년 3월 17일 수요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6040,부전동(주)사미헌,좋아요,별점3.5점,방문일21.3.17.수2021년 3월 17일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6041,부전동(주)사미헌,,별점4.5점,방문일21.2.14.일2021년 2월 14일 일요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6042,부전동(주)사미헌,친구들이랑 단체로 사미헌 완전 뿌수고 나왔어요 ㅋㅋㅋㅋㅋ 거기 있는 특수부위 새우살 우리가 다 시킴 너무 맛있어요 ㅋㅋ 담에도 새우살 있을때 가려구요 ㅋㅋㅋ,별점5점,방문일20.11.30.월2020년 11월 30일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6043,부전동(주)사미헌,짱,별점5점,방문일21.7.1.목2021년 7월 1일 목요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6044,부전동(주)사미헌,ㅎ,별점4점,방문일21.3.17.수2021년 3월 17일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6045,부전동(주)사미헌,"아버지가 어릴때부터 데리고 온 맛집이에요. 지금 부모님이랑 따로 떨어져 사는데, 부모님 뵈러 갈때마다 아버지가 저희부부 데리고 찾으신답니다. 갈비탕 맛은 옛날이나 지금이나 너무 맛있네요.",별점5점,방문일20.12.21.월2020년 12월 21일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6046,부전동(주)사미헌,좋아요,별점3.5점,방문일21.4.4.일2021년 4월 4일 일요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6047,부전동(주)사미헌,부산에서 한우 맛있게 먹은 적이 별루 없는데 여기선 늘 만족하고 갑니당~~~^^,별점5점,방문일20.12.20.일2020년 12월 20일 일요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6048,부전동(주)사미헌,소고기 맛있어요,별점3.5점,방문일21.2.6.토2021년 2월 6일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6049,부전동(주)사미헌,갈비탕 사러왔다가 점심특선 가성비있어보여서 먹고왔습니다 잘먹었습니다.,별점5점,방문일20.11.30.월2020년 11월 30일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6050,부전동(주)사미헌,좋아요,별점4.5점,방문일21.6.24.목2021년 6월 24일 목요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6051,부전동(주)사미헌,"코로나때문에 걱정했는데
방마다 따로 식사할수있어서 다행이었어요
맛도 역시 최고였습니다!!",별점4.5점,방문일20.12.20.일2020년 12월 20일 일요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6052,부전동(주)사미헌,최고입니다,별점5점,방문일21.3.3.수2021년 3월 3일 수요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6053,부전동(주)사미헌,"따끈한 갈비탕,,맛있어요",별점5점,방문일20.12.29.화2020년 12월 29일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6054,부전동(주)사미헌,맛있어요,별점3점,방문일21.3.26.금2021년 3월 26일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6055,부전동(주)사미헌,굿,별점5점,방문일21.3.26.금2021년 3월 26일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6056,부전동(주)사미헌,맛나요~,별점4점,방문일21.2.18.목2021년 2월 18일 목요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6057,부전동(주)사미헌,가격도 합리적이고 좋습니다. 이번 연말 회식은 여기서 안전하게 해야겠습니다.,별점5점,방문일20.11.17.화2020년 11월 17일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6058,부전동(주)사미헌,맛있어요,별점4.5점,방문일21.5.13.목2021년 5월 13일 목요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6059,부전동(주)사미헌,맛있어요,별점4점,방문일21.5.11.화2021년 5월 11일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6060,부전동(주)사미헌,굿,별점4점,방문일21.2.19.금2021년 2월 19일 금요일,2번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
6061,부전동(주)사미헌,좋아요~,별점5점,방문일21.5.7.금2021년 5월 7일 금요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">육류,고기요리</span>"
